Yoshiki Tonogai
Miki Tori
Akira Toriyama
Kei Toume
Ema Tōyama
Masami Tsuda
Mikiyo Tsuda
Taishi Zaō
Zaō Taishi
Yoshiharu Tsuge
Yumi Tsukirino
Sakura Tsukuba
Tsunomaru
Kenji Tsuruta
Midorikawa Tsuyoshi
Shungicu Uchida
Hajime Ueda
Masashi Ueda
Miwa Ueda
Rinko Ueda
Toshiko Ueda
Kimiko Uehara
Riichi Ueshiba
U-Jin
Haruto Umezawa
Kazuo Umezu
Chica Umino
Akinobu Uraka
Naoki Urasawa
Yuki Urushibara
Satoshi Urushihara
Satoshi Urushihara
Yoshito Usui
Kyosuke Usuta
Hiroyuki Utatane
Shinji Wada
Tamiki Wakaki
Masako Watanabe
Taeko Watanabe
Seizō Watase
Yuu Watase
Kaworu Watashiya
Nobuhiro Watsuki
Yuu Yabuchi
Kentaro Yabuki
Chitose Yagami
Hiroki Yagami
Yu Yagami
Norihiro Yagi
Kou Yaginuma
Akihiro Yamada
J-ta Yamada
Keiko Yamada
Murasaki Yamada
Nanpei Yamada
Reiji Yamada
Ryoko Yamagishi
Masakazu Yamaguchi
Tsubasa Yamaguchi
Ebine Yamaji
Hideo Yamamoto
Naoki Yamamoto
Satoshi Yamamoto
Sumika Yamamoto
Yamato Yamamoto
Yasuhito Yamamoto
Ayano Yamane
Sharin Yamano
Jūzō Yamasaki
Ikuto Yamashita
Kazumi Yamashita
Waki Yamato
Housui Yamazaki
Kimio Yanagisawa
Takashi Yanase
Kentarō Yano
Yasu
Suzuhito Yasuda
Yoshikazu Yasuhiko
Kōichirō Yasunaga
Chao Yat
Ai Yazawa
Nao Yazawa
Mitsuteru Yokoyama
Hideyuki Yonehara
Yoshihiro Yonezawa
Akimi Yoshida
Tatsuo Yoshida
Miki Yoshikawa
Kagami Yoshimizu
Fumi Yoshinaga
Akihito Yoshitomi
Mine Yoshizaki
Seimu Yoshizaki
Wataru Yoshizumi
Toshiki Yui
Kaori Yuki
Masami Yuki
Nobuteru Yūki
Yukiwo
Makoto Yukimura
Sumomo Yumeka
Tsutae Yuzu
Adachitoka
Akira Himekawa
Himekawa Akira
Clamp
Fujiko Fujio
Fujio Fujiko
Fujiko Fujio
Headgear
Kaishaku
Peach-Pit
Year 24 Group
Nijūyo-nen Gumi
Yudetamago
